"검색조건 - 사고년도:2015~2017; 사고지역:서울특별시 :: 전체 :: ; 사고내용:사망사고, 중상사고, 경상사고, 부상신고; 음주운전 사고",,,,,,,,,,,,,,,,,,,,,
사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2015010500100577,2015년 1월 5일 22시,월요일,서울특별시 강남구 일원동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,습기,비,교차로 - 교차로안,화물,남,65세,상해없음,승용,남,51세,경상
2015010500100616,2015년 1월 5일 23시,월요일,서울특별시 강서구 마곡동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,기타,비,교차로 - 교차로부근,승용,남,46세,상해없음,승용,남,27세,경상
2015010500100621,2015년 1월 5일 23시,월요일,서울특별시 강남구 개포동,중상사고,0,1,2,0,차대차 - 추돌 - 진행중,안전운전불이행,습기,비,교차로 - 교차로부근,승용,남,31세,상해없음,승용,여,31세,경상
2015010600100001,2015년 1월 6일 00시,화요일,서울특별시 마포구 신수동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전운전불이행,습기,비,단일로 - 기타,승용,남,38세,상해없음,승용,남,51세,경상
2015010600100007,2015년 1월 6일 00시,화요일,서울특별시 강남구 도곡동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,습기,비,단일로 - 기타,승용,남,46세,상해없음,승용,남,58세,경상
2015010600100027,2015년 1월 6일 01시,화요일,서울특별시 동대문구 제기동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,습기,비,단일로 - 기타,승용,남,59세,상해없음,승용,남,57세,경상
2015010600100028,2015년 1월 6일 01시,화요일,서울특별시 동대문구 답십리동,중상사고,0,2,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,습기,비,교차로 - 교차로부근,화물,남,41세,상해없음,승용,남,62세,중상
2015010600100080,2015년 1월 6일 05시,화요일,서울특별시 용산구 후암동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,22세,상해없음,보행자,남,75세,사망
2015010600100502,2015년 1월 6일 21시,화요일,서울특별시 강남구 수서동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,45세,상해없음,승용,남,43세,중상
2015010600100533,2015년 1월 6일 22시,화요일,서울특별시 강남구 논현동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,49세,상해없음,승용,여,41세,경상
2015010700100002,2015년 1월 7일 00시,수요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,54세,경상
2015010700100016,2015년 1월 7일 01시,수요일,서울특별시 강동구 성내동,경상사고,0,0,3,0,차대차 - 측면직각충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,화물,남,57세,경상
2015010700100054,2015년 1월 7일 05시,수요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,30세,경상
2015010700100055,2015년 1월 7일 05시,수요일,서울특별시 동작구 노량진동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,20세 이하,상해없음,,,,
2015010700100057,2015년 1월 7일 05시,수요일,서울특별시 성북구 하월곡동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,32세,상해없음,승용,남,38세,경상
2015010700100063,2015년 1월 7일 06시,수요일,서울특별시 성동구 송정동,중상사고,0,1,0,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,화물,남,41세,중상
2015010700100320,2015년 1월 7일 16시,수요일,서울특별시 강남구 역삼동,중상사고,0,1,0,0,차대차 - 추돌 - 진행중,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,승용,남,51세,상해없음
2015010700100321,2015년 1월 7일 16시,수요일,서울특별시 강남구 수서동,중상사고,0,1,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,38세,상해없음,승용,여,46세,중상
2015010700100377,2015년 1월 7일 18시,수요일,서울특별시 성북구 석관동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,33세,상해없음,보행자,여,68세,경상
