"검색조건 - 사고년도:2014~2014; 사고지역:서울특별시 :: 전체 :: ; 사고내용:사망사고, 중상사고, 경상사고, 부상신고; 음주운전 사고",,,,,,,,,,,,,,,,,,,,,
사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2014010500100010,2014년 1월 5일 01시,일요일,서울특별시 금천구 시흥동,중상사고,0,1,0,1,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,43세,부상신고,승용,여,30세,중상
2014010500100034,2014년 1월 5일 03시,일요일,서울특별시 중랑구 면목동,중상사고,0,1,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,승용,남,57세,경상
2014010500100056,2014년 1월 5일 05시,일요일,서울특별시 중구 신당동,중상사고,0,1,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,남,58세,중상
2014010500100064,2014년 1월 5일 06시,일요일,서울특별시 성북구 석관동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,35세,상해없음,승용,남,58세,경상
2014010500100254,2014년 1월 5일 18시,일요일,서울특별시 강남구 일원동,중상사고,0,1,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,57세,중상
2014010500100338,2014년 1월 5일 22시,일요일,서울특별시 동작구 흑석동,중상사고,0,2,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,34세,상해없음,승용,여,27세,중상
2014010500100355,2014년 1월 5일 23시,일요일,서울특별시 서초구 방배동,경상사고,0,0,4,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,남,38세,경상
2014010600100020,2014년 1월 6일 04시,월요일,서울특별시 구로구 개봉동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,승용,남,61세,상해없음
2014010600100032,2014년 1월 6일 06시,월요일,서울특별시 동대문구 회기동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,보행자,남,57세,경상
2014010600100426,2014년 1월 6일 21시,월요일,서울특별시 영등포구 문래동3가,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,남,43세,경상
2014010600100447,2014년 1월 6일 22시,월요일,서울특별시 강동구 길동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,기타,교차로 - 교차로부근,승용,남,27세,상해없음,승용,남,51세,경상
2014010600100470,2014년 1월 6일 23시,월요일,서울특별시 동대문구 신설동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전운전불이행,건조,기타,단일로 - 횡단보도부근,승용,여,47세,상해없음,승용,여,50세,경상
2014010600100474,2014년 1월 6일 23시,월요일,서울특별시 강남구 개포동,경상사고,0,0,2,2,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,47세,상해없음,화물,남,52세,부상신고
2014010700100002,2014년 1월 7일 00시,화요일,서울특별시 구로구 구로동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,30세,상해없음,승용,남,66세,경상
